"old","new"
"06-Input-NoMethionine-Rep1.raw_counts","TotalRNA.NoMethionine.Rep1.rawCounts"
"07-Input-Control-Rep2.raw_counts","TotalRNA.Control.Rep2.rawCounts"
"08-Input-NoGlucose-Rep2.raw_counts","TotalRNA.NoGlucose.Rep2.rawCounts"
"09-Input-NoGlutamine-Rep2.raw_counts","TotalRNA.NoGlutamine.Rep2.rawCounts"
"10-Input-NoBCAA-Rep2.raw_counts","TotalRNA.NoBCAA.Rep2.rawCounts"
"11-Input-NoArginine-Rep2.raw_counts","TotalRNA.NoArginine.Rep2.rawCounts"
"12-Input-NoMethionine-Rep2.raw_counts","TotalRNA.NoMethionine.Rep2.rawCounts"
"13-Input-Control-Rep3.raw_counts","TotalRNA.Control.Rep3.rawCounts"
"14-Input-NoGlucose-Rep3.raw_counts","TotalRNA.NoGlucose.Rep3.rawCounts"
"15-Input-NoGlutamine-Rep3.raw_counts","TotalRNA.NoGlutamine.Rep3.rawCounts"
"16-Input-NoBCAA-Rep3.raw_counts","TotalRNA.NoBCAA.Rep3.rawCounts"
"17-Input-NoArginine-Rep3.raw_counts","TotalRNA.NoArginine.Rep3.rawCounts"
"18-Input-NoMethionine-Rep3.raw_counts","TotalRNA.NoMethionine.Rep3.rawCounts"
"19-PooledPolysome-Control-Rep1.raw_counts","PolyRNA.Control.Rep1.rawCounts"
"20-PooledPolysome-NoGlucose-Rep1.raw_counts","PolyRNA.NoGlucose.Rep1.rawCounts"
"21-PooledPolysome-NoGlutamine-Rep1.raw_counts","PolyRNA.NoGlutamine.Rep1.rawCounts"
"22-PooledPolysome-NoBCAA-Rep1.raw_counts","PolyRNA.NoBCAA.Rep1.rawCounts"
"23-PooledPolysome-NoArginine-Rep1.raw_counts","PolyRNA.NoArginine.Rep1.rawCounts"
"24-PooledPolysome-NoMethionine-Rep1.raw_counts","PolyRNA.NoMethionine.Rep1.rawCounts"
"25-PooledPolysome-Control-Rep2.raw_counts","PolyRNA.Control.Rep2.rawCounts"
"26-PooledPolysome-NoGlucose-Rep2.raw_counts","PolyRNA.NoGlucose.Rep2.rawCounts"
"27-PooledPolysome-NoGlutamine-Rep2.raw_counts","PolyRNA.NoGlutamine.Rep2.rawCounts"
"28-PooledPolysome-NoBCAA-Rep2.raw_counts","PolyRNA.NoBCAA.Rep2.rawCounts"
"29-PooledPolysome-NoArginine-Rep2.raw_counts","PolyRNA.NoArginine.Rep2.rawCounts"
"30-PooledPolysome-NoMethionine-Rep2.raw_counts","PolyRNA.NoMethionine.Rep2.rawCounts"
"31-PooledPolysome-Control-Rep3.raw_counts","PolyRNA.Control.Rep3.rawCounts"
"32-PooledPolysome-NoGlucose-Rep3.raw_counts","PolyRNA.NoGlucose.Rep3.rawCounts"
"33-PooledPolysome-NoGlutamine-Rep3.raw_counts","PolyRNA.NoGlutamine.Rep3.rawCounts"
"34-PooledPolysome-NoBCAA-Rep3.raw_counts","PolyRNA.NoBCAA.Rep3.rawCounts"
"35-PooledPolysome-NoArginine-Rep3.raw_counts","PolyRNA.NoArginine.Rep3.rawCounts"
"36-PooledPolysome-NoMethionine-Rep3.raw_counts","PolyRNA.NoMethionine.Rep3.rawCounts"
"X01.Input.Control.normalized_counts","TotalRNA.Control.Rep1.normCounts"
"X02.Input.NoGlucose.normalized_counts","TotalRNA.NoGlucose.Rep1.normCounts"
"X03.Input.NoGlutamine.normalized_counts","TotalRNA.NoGlutamine.Rep1.normCounts"
"X04.Input.NoBCAA.normalized_counts","TotalRNA.NoBCAA.Rep1.normCounts"
"X05.Input.NoArginine.normalized_counts","TotalRNA.NoArginine.Rep1.normCounts"
"X06.Input.NoMethionine.normalized_counts","TotalRNA.NoMethionine.Rep1.normCounts"
"X07.Input.Control.normalized_counts","TotalRNA.Control.Rep2.normCounts"
"X08.Input.NoGlucose.normalized_counts","TotalRNA.NoGlucose.Rep2.normCounts"
"X09.Input.NoGlutamine.normalized_counts","TotalRNA.NoGlutamine.Rep2.normCounts"
"X10.Input.NoBCAA.normalized_counts","TotalRNA.NoBCAA.Rep2.normCounts"
"X11.Input.NoArginine.normalized_counts","TotalRNA.NoArginine.Rep2.normCounts"
