Name,Halo-vs-DMSO.Rosa26.Log2FC,DMSO.ATF4-vs-Rosa26.Log2FC,DMSO.CEBPG-vs-Rosa26.Log2FC,Halo.ATF4-vs-Rosa26.Log2FC,Halo.CEBPG-vs-Rosa26.Log2FC,Halo-vs-DMSO.Rosa26.AdjPval,DMSO.ATF4-vs-Rosa26.AdjPval,DMSO.CEBPG-vs-Rosa26.AdjPval,Halo.ATF4-vs-Rosa26.AdjPval,Halo.CEBPG-vs-Rosa26.AdjPval,DMSO.Rosa26.meanNormCounts,Halo.Rosa26.meanNormCounts,DMSO.ATF4.meanNormCounts,Halo.ATF4.meanNormCounts,DMSO.CEBPG.meanNormCounts,Halo.CEBPG.meanNormCounts
Hr,1.14880322744533,1.48735167463865,0.673365468822329,0.457830220947477,0.885543953185233,0.090512049154568,0.0477829511548877,0.468912239847845,0.541378623781295,0.221119303288892,-0.8010500752596487,0.2698245609313022,0.4511302253248353,0.729383780558552,-0.2186056589358094,1.142753875836793
Cacna1i,-4.88893294732943,5.28762559466173,-0.414932548293395,11.0214480013346,0,0.0322525502864433,1.14933348331721e-5,0.813726030021225,3.15697296888971e-7,1,-1.843411434330922,-3.05495137071931,3.1616190319379,3.9798730838017367,-2.167052902866433,-3.05495137071931
Ptk2,1.4654412093909,1.81706311080171,1.71244021638579,-0.434757224119045,-0.140761533930606,3.3139851321865e-4,1.485747829418e-4,0.00319490945417698,0.257962426039174,0.755148362223112,0.09134877743289466,1.5487367618294867,1.89056141071445,1.174913956477619,1.7962638186409567,1.4950955867881233
Adcy5,2.43924065701584,2.26593632351892,1.64837590306911,-0.132258019812678,1.07353776490405,0.00271398886287605,0.0117479613279634,0.137858831243031,0.877826116651817,0.111482362699979,-2.1351419275800465,-0.3952352652287959,-0.5600748718364853,-0.48876700563252395,-1.0710411501258208,0.6595334878192353
Pcdhgc4,-1.15519270735344,1.52569802697615,1.296062400576,0.769141784590098,0.541809894809744,0.105746394945404,0.022884553367619,0.110704138510381,0.3752505325155,0.57882402571925,-0.777913590553452,-1.60261245866684,0.6945162300993244,-1.0733685665585866,0.453757892490751,-1.2432968772559148
Igfbp6,0.142574917426893,-1.50727646809027,-0.555828254362071,-0.986789371062965,-0.472685906480758,0.804205778196994,0.0236170786981104,0.433233736406367,0.103773745742722,0.475775036933595,-0.14120407223203102,0.10226093116599233,-1.2748542525243622,-0.698645947155161,-0.5046970834351053,-0.2555149696037477
Guca1b,1.24392391279279,1.14999248410842,0.826699937384365,0.163972864291683,0.0941533858536038,0.0110044263503678,0.0331102232029701,0.201360407706752,0.783085215107075,0.882108801367925,0.2444555486789976,1.4521590077726834,1.41675328014599,1.68130622156578,0.85294693185509,1.5890302383248633
Cyp4f13,0.830480103780914,1.0505309422075,0.716325201261587,0.431269461647877,0.312311040895484,3.1526811663873e-4,1.2129204983334e-4,0.01850584530253,0.040425453609901,0.170623234680669,2.50780071822746,3.3547735443982134,3.6546129970010934,3.8789469882008065,3.28489455280275,3.7771988674616033
Gnal,2.9227338790832,1.68814425361101,0.451641179129435,1.05141210458437,0.930550438426374,7.606694407126851e-9,1.0499024203021e-4,0.342205420517754,1.8855857366222e-4,0.00122178360823618,0.6704766150747556,3.5407365563496,2.3345898340325166,4.669509517928617,1.1103322182412143,4.570385485685417
Fads2,-2.58941945541068,-1.10683897544463,-0.589246023708842,-1.48023928218884,-1.18077639183384,5.3822416482924295e-12,2.12525003470408e-6,0.00621119964309875,1.52278080997323e-6,4.16778836183678e-5,4.926683110870989,2.41308330565672,3.92293113453839,1.0203228072418025,4.399488237256537,1.3317409669170233
Fas,1.63046974007995,1.0537363981245,0.52694670246037,0.573004682798325,0.329932889627988,1.1773081788487802e-9,5.8748399970991e-6,0.0187976847611713,3.1113001858714e-4,0.0322719520734043,3.242744007376517,4.9133425427384765,4.384209399908947,5.546662147103933,3.8278663585612334,5.32894059296749
Plce1,1.6845064559831,1.96313930707496,1.00258139385668,1.05473327734619,1.2522172463361,0.0480497581024366,0.036731479789352,0.401560380510253,0.15541045197748,0.110201924269206,-2.03019150788215,-0.9558354001180343,-0.550961921847534,0.08776689498365176,-1.4806898082651587,0.34397230726887335
