Name,Halo-vs-DMSO.Rosa26.Log2FC,DMSO.ATF4-vs-Rosa26.Log2FC,DMSO.CEBPG-vs-Rosa26.Log2FC,Halo.ATF4-vs-Rosa26.Log2FC,Halo.CEBPG-vs-Rosa26.Log2FC,Halo-vs-DMSO.Rosa26.AdjPval,DMSO.ATF4-vs-Rosa26.AdjPval,DMSO.CEBPG-vs-Rosa26.AdjPval,Halo.ATF4-vs-Rosa26.AdjPval,Halo.CEBPG-vs-Rosa26.AdjPval,DMSO.Rosa26.meanNormCounts,Halo.Rosa26.meanNormCounts,DMSO.ATF4.meanNormCounts,Halo.ATF4.meanNormCounts,DMSO.CEBPG.meanNormCounts,Halo.CEBPG.meanNormCounts
2610318N02Rik,-1.4943775438556,-0.383096412947872,-0.206986147141129,-0.847012029038365,-0.29649835835958,1.92506158485241e-10,0.00356160690606389,0.159123629900697,6.02527608210039e-6,0.0459074576114707,5.266133855494926,3.8271901719245336,4.9827671836682095,3.0462807631427666,5.12048343096992,3.62170013289791
H2ax,-1.11149221632189,-0.457968525507769,-0.553144125578851,-0.58555699903734,-0.566852063298869,4.24016881051916e-8,0.00257995440667591,0.00531883615253582,3.0324983258839e-4,8.6955262189067e-4,7.274537349382164,6.208675396519267,6.91384152987348,5.6782668599855,6.7797725018480035,5.735444724251357
Ankrd55,6.9862692149015,5.70837283668136,4.78068265423434,0.70145206621993506,0.758917954628134,1.0046021289416e-4,0.00501726521832783,0.0726856114419945,0.359462205998589,0.34765863290303,-3.05495137071931,0.0011433042873530235,-1.1983217242942847,0.7339995163265179,-1.8144610164416424,0.8258476324942576
Tdrp,1.20001351495257,0.513453388083846,0.129271308947196,0.603235248264915,0.259119484412318,1.59204101723952e-7,0.00576860038930069,0.551439653533176,4.1924857389058e-4,0.123073969851951,3.246925125499777,4.484616656836057,3.8477768199354667,5.154406018082237,3.43653337395704,4.830060331900676
Haspin,-1.0940473442364,-0.572570052197117,-0.178167398189663,-0.760142057630186,-0.606789347736701,1.41732521613865e-7,7.6127160539978e-4,0.306574972318033,8.7236576361467e-5,0.00136471560872534,5.399116642156293,4.350577509305763,4.923572774444127,3.6544845969864834,5.28014709359926,3.84535085423068
Sarm1,1.66279429332229,1.4606662414367,0.515586439365576,0.391120146941465,0.297683573979332,9.409324710466e-4,0.00700404314623928,0.421378022957539,0.416254610824328,0.568752568156533,-0.13772062580364602,1.44696042240994,1.3241027540608568,1.9252085469157167,0.37139366318524103,1.8279368426735334
F2rl3,-1.64382149674635,-0.53198116769541,-0.336623884860999,-0.562698162402505,-0.190280202995101,1.43498405549332e-9,0.00173978022900035,0.0788168331513807,0.00300302234456707,0.331241434032,4.81195083497565,3.2222876091084602,4.373017249487553,2.7386917696406434,4.53746923920491,3.129673594851287
Gm867,4.18910252898185,1.95839728256842,1.28592918220494,-2.31840634855899,-1.73503810757567,1.1396731836187e-4,0.105196450868876,0.40094785605287,0.00706479984573948,0.0425666223264884,-2.4520246916464967,0.6628600479055891,-1.2506308000827524,-1.2079925260246336,-1.6685345966657334,-1.009351024240174
Prag1,-1.42776522290557,-0.498993771746046,-0.263491971171924,0.053443157069021,0.0344939296274969,9.72750594069302e-8,0.00964080601817485,0.227694835292606,0.836183555447871,0.89993886001537,4.14152346521637,2.7816971841072,3.73250558240488,2.8817309208298303,3.9415007095568666,2.9013801239418036
Gpr18,1.45351077683801,0.592561195250337,0.297658419229789,0.12104341669164,0.0540668651795497,2.22834783511495e-10,1.4501250879268e-4,0.0726856114419945,0.327665278378951,0.70481846706412,4.412210620204763,5.909623664364407,5.098979250502897,6.08913581364076,4.767847507263577,6.05361749669495
