Name,NoGlucose.TotalRNA.Log2FC,NoGlucose.TotalRNA.AdjPval,NoGlucose.PolyRNA.Log2FC,NoGlucose.PolyRNA.AdjPval,NoGlucose.TotalRNA.meanNormCounts,NoGlucose.PolyRNA.meanNormCounts,NoGlutamine.TotalRNA.Log2FC,NoGlutamine.TotalRNA.AdjPval,NoGlutamine.PolyRNA.Log2FC,NoGlutamine.PolyRNA.AdjPval,NoGlutamine.TotalRNA.meanNormCounts,NoGlutamine.PolyRNA.meanNormCounts,NoBCAA.TotalRNA.Log2FC,NoBCAA.TotalRNA.AdjPval,NoBCAA.PolyRNA.Log2FC,NoBCAA.PolyRNA.AdjPval,NoBCAA.TotalRNA.meanNormCounts,NoBCAA.PolyRNA.meanNormCounts,NoArginine.TotalRNA.Log2FC,NoArginine.TotalRNA.AdjPval,NoArginine.PolyRNA.Log2FC,NoArginine.PolyRNA.AdjPval,NoArginine.TotalRNA.meanNormCounts,NoArginine.PolyRNA.meanNormCounts,NoMethionine.TotalRNA.Log2FC,NoMethionine.TotalRNA.AdjPval,NoMethionine.PolyRNA.Log2FC,NoMethionine.PolyRNA.AdjPval,NoMethionine.TotalRNA.meanNormCounts,NoMethionine.PolyRNA.meanNormCounts,Control.TotalRNA.meanNormCounts,Control.PolyRNA.meanNormCounts
Slc3a2,1.3671162293663,7.851041788008101e-11,2.06694478675604,8.394596601405659e-11,9.534089237848423,10.223534725073634,1.32296507777598,5.4266135386545496e-11,2.07047189343175,3.0575362923043696e-11,9.52098238344341,10.1221090697292,1.41808126061638,3.7812522743505295e-11,2.15897680373267,3.75147017650766e-11,9.594834574793174,10.202183930552566,0.672445710410432,2.06015265604901e-5,1.34708681854207,2.28563107066037e-7,8.849056716913033,9.431862265380557,1.35628560772349,7.102836744106049e-11,2.45858397347932,3.51282300343582e-12,9.59135206058324,10.5008152823301,8.206897925960384,8.130294661138707
Slc41a1,-1.11658075640859,8.40340918289254e-8,-0.987163853791667,8.75863078585255e-9,4.045716241884507,4.52362581353416,-0.469566591052818,0.00148783665028775,-0.676365063344663,7.98456040861065e-7,4.715638546481316,4.745719349636583,-0.386265200677151,0.00917485602263499,-0.336406802816755,0.00230372396216073,4.788113126092844,5.072286490618186,0.00156427846547002,0.995396668105681,0.103996637452226,0.35658222809203,5.179734999441947,5.5609261331835,-0.556194213336316,3.7212516518356e-4,-0.413744673694817,2.2412878492247e-4,4.6728452136640595,4.994734010951467,5.206897063665183,5.491759942510186
Elmo3,-1.29888069753911,6.94024473357983e-5,-0.805278313896699,0.00613271418190199,0.20493671168597924,-0.5430795944990827,-0.605098266148476,0.0237864480990992,-0.633213529879295,0.0200755935310124,0.9115607667468,-0.4292817668950464,-0.302048060582398,0.280537956592035,-0.615650284668274,0.0298709869750946,1.1637178481646093,-0.4273094276666825,-0.568407030453032,0.0920455937215134,-0.504830613479747,0.0786217715587874,0.9208679947643377,-0.30506334603266233,0.00886073635574204,0.978165006285533,0.0681181679193683,0.795150024865989,1.53016412165577,0.222826893881036,1.51224940892928,0.2342526700896091
Zdhhc12,-1.03651740981048,2.18358019876242e-6,-1.63264396112408,2.98120148338039e-9,2.8316450589400435,2.34856625302242,-0.505615310669962,0.00317119809468385,-1.21678131470553,6.03670182715079e-8,3.4050352309271097,2.68262505057076,-0.51671694615468,0.00348042458137688,-1.21873380069582,1.29497569689644e-7,3.362935518666013,2.6591993947825867,0.138866684506073,0.548694051620363,-0.257476916604983,0.102892042384622,4.01197781194561,3.6660317061596635,-0.0736568792720854,0.693051765164543,-0.743614987690221,2.33169515717596e-5,3.8660621064232368,3.1283636499790934,3.91051293381897,3.950913946858017
Ager,-1.13242395608856,0.0174001479485175,-2.27556355193829,7.6120142864742e-4,-1.43744743000902,-3.04482055990975,0.0936315786073321,0.853986230074132,-0.51384605947909,0.27031543337351,-0.3329654316560129,-1.79761969882638,-0.186997996794071,0.722797715809534,-1.16185945885628,0.0302134895298472,-0.6240952981240924,-2.3426367380531468,-0.403080143342665,0.519895203113063,-0.273643457548475,0.609039144303424,-0.7604491438700001,-1.5624213350248832,-0.173171529183666,0.727567706487152,0.0442773440439225,0.92444947556967,-0.5493943938141963,-1.3640325071668566,-0.4142280716814603,-1.2893654601991824
Itga2,1.1570983729747,4.5528443812422e-4,2.10010315956711,1.13944949844679e-8,1.55722189436294,1.93398211087249,1.24170131503563,1.9706032955431e-4,1.49950860856871,1.10506733526548e-6,1.6669099848611901,1.226338138081591,1.04025007212183,0.00175082137169469,1.4228228808049601,4.73957715854901e-6,1.4474510917960466,1.1598222666593738,0.258149990046336,0.602840549778604,0.78591963414523,0.00502853721173239,0.5885081325539997,0.5738235771902916,1.44711028487214,3.63108021081822e-5,2.21712550939164,2.18392816517037e-9,1.8994653519685234,1.94327201541393,0.4708293783499677,-0.1354462410566952
Gata3,1.66519392383691,0.0208577711028143,1.4137633627299,0.0124420252069388,-0.985781796338322,-1.042341890764981,1.31289966279029,0.0842310742369344,1.51178879303913,0.00589394068745984,-1.26005854172146,-1.0634005529984647,1.21903923725222,0.128066558935054,1.38328877797662,0.0155598479580132,-1.3770398756519637,-1.159288867504915,1.37406403033435,0.157195468954359,-0.00882581308209776,0.992131142561975,-1.2230387101660911,-2.3479991203655066,0.999436955892392,0.2264153956597,0.873277621492531,0.123612028692562,-1.5276464779490733,-1.5803699031973835,-2.3201622145854968,-2.3017771396233333
Lama5,1.25844650585126,7.73255567316875e-7,1.15281457936146,2.11110721727822e-7,4.9654882696698435,5.21881269364457,0.961003606608952,2.18143275232384e-5,0.886543811128797,4.46387217499245e-6,4.703824967152204,4.86802813658561,0.638272602916822,0.00248118045965192,0.665606790509612,1.9472662439194e-4,4.35049674224401,4.61385286011185,0.549631571011991,0.0264105140620769,0.552365421017515,0.00211667726374573,4.260397740087823,4.569072423474487,0.861157663009198,1.050172216847e-4,1.26223353485521,2.95031427173905e-8,4.6238474793193935,5.2160694449708265,3.7523568310606237,4.0457742114917
Col20a1,-1.47542448696276,6.10144133768969e-5,-1.62618464424582,2.01782610320196e-6,-0.4221346545425957,-0.9403251666692157,-0.260652806333376,0.376402193295667,0.342136584370988,0.0875860657016217,0.7402806195393207,0.849210616983877,0.270411332005558,0.357374474594528,0.565158966112802,0.00782894106256019,1.2365671007091033,1.039772003328088,-0.332903889283192,0.389211530060594,-0.00746457796012339,0.979377130169116,0.604657263380951,0.540962548612637,0.846689612141383,0.00173186597068424,1.30568620212283,3.95661066276033e-7,1.85220961406567,1.77190912881377,1.0029106563266237,0.5721411186737226
Cd46,-1.73294904568973,0.0113030626793197,0.0854967265225322,0.885129164006441,-2.2370703474968967,-1.8623913027677967,-1.9539683747803,0.0063971347238204,-0.269037911438505,0.629775692927364,-2.2665407657553036,-2.1876963666894365,-0.210374614211994,0.76755981512537,0.131263366047339,0.826176796289147,-0.778977885127225,-1.8693841610437634,-0.251900401897286,0.786880759899003,0.319713546620774,0.585154719364248,-0.7843044994301434,-1.7182121298168134,-0.0828239680168463,0.905634790631376,0.865863307370734,0.063558726717721,-0.6484553850220813,-1.2399272474326566,-0.5624980154924983,-1.9973813913007468
